O*NET-SOC Code,Title,Attribute Type,Element ID,Element Name,Scale Name,Data Value
11-1011.00,Chief Executives,Interest,1.B.1.a,Realistic,Occupational Interests,1.3
11-1011.00,Chief Executives,Interest,1.B.1.b,Investigative,Occupational Interests,3.24
11-1011.00,Chief Executives,Interest,1.B.1.c,Artistic,Occupational Interests,2.08
11-1011.00,Chief Executives,Interest,1.B.1.d,Social,Occupational Interests,3.52
11-1011.00,Chief Executives,Interest,1.B.1.e,Enterprising,Occupational Interests,6.88
11-1011.00,Chief Executives,Interest,1.B.1.f,Conventional,Occupational Interests,5
11-1011.03,Chief Sustainability Officers,Interest,1.B.1.a,Realistic,Occupational Interests,2.04
11-1011.03,Chief Sustainability Officers,Interest,1.B.1.b,Investigative,Occupational Interests,4.78
11-1011.03,Chief Sustainability Officers,Interest,1.B.1.c,Artistic,Occupational Interests,2.48
11-1011.03,Chief Sustainability Officers,Interest,1.B.1.d,Social,Occupational Interests,3.55
11-1011.03,Chief Sustainability Officers,Interest,1.B.1.e,Enterprising,Occupational Interests,6.68
11-1011.03,Chief Sustainability Officers,Interest,1.B.1.f,Conventional,Occupational Interests,4.49
11-1021.00,General and Operations Managers,Interest,1.B.1.a,Realistic,Occupational Interests,2.22
11-1021.00,General and Operations Managers,Interest,1.B.1.b,Investigative,Occupational Interests,2.39
11-1021.00,General and Operations Managers,Interest,1.B.1.c,Artistic,Occupational Interests,1.31
11-1021.00,General and Operations Managers,Interest,1.B.1.d,Social,Occupational Interests,3.37
11-1021.00,General and Operations Managers,Interest,1.B.1.e,Enterprising,Occupational Interests,6.96
11-1021.00,General and Operations Managers,Interest,1.B.1.f,Conventional,Occupational Interests,5.32
11-1031.00,Legislators,Interest,1.B.1.a,Realistic,Occupational Interests,1.54
11-1031.00,Legislators,Interest,1.B.1.b,Investigative,Occupational Interests,3.35
11-1031.00,Legislators,Interest,1.B.1.c,Artistic,Occupational Interests,2.7
11-1031.00,Legislators,Interest,1.B.1.d,Social,Occupational Interests,3.69
11-1031.00,Legislators,Interest,1.B.1.e,Enterprising,Occupational Interests,5.52
11-1031.00,Legislators,Interest,1.B.1.f,Conventional,Occupational Interests,3.62
11-2011.00,Advertising and Promotions Managers,Interest,1.B.1.a,Realistic,Occupational Interests,1.07
11-2011.00,Advertising and Promotions Managers,Interest,1.B.1.b,Investigative,Occupational Interests,1.71
11-2011.00,Advertising and Promotions Managers,Interest,1.B.1.c,Artistic,Occupational Interests,3.85
11-2011.00,Advertising and Promotions Managers,Interest,1.B.1.d,Social,Occupational Interests,3.14
11-2011.00,Advertising and Promotions Managers,Interest,1.B.1.e,Enterprising,Occupational Interests,7
11-2011.00,Advertising and Promotions Managers,Interest,1.B.1.f,Conventional,Occupational Interests,4.3
11-2021.00,Marketing Managers,Interest,1.B.1.a,Realistic,Occupational Interests,1
11-2021.00,Marketing Managers,Interest,1.B.1.b,Investigative,Occupational Interests,2.9
11-2021.00,Marketing Managers,Interest,1.B.1.c,Artistic,Occupational Interests,2.45
11-2021.00,Marketing Managers,Interest,1.B.1.d,Social,Occupational Interests,2.82
11-2021.00,Marketing Managers,Interest,1.B.1.e,Enterprising,Occupational Interests,7
11-2021.00,Marketing Managers,Interest,1.B.1.f,Conventional,Occupational Interests,4.7
11-2022.00,Sales Managers,Interest,1.B.1.a,Realistic,Occupational Interests,1.49
11-2022.00,Sales Managers,Interest,1.B.1.b,Investigative,Occupational Interests,1.66
11-2022.00,Sales Managers,Interest,1.B.1.c,Artistic,Occupational Interests,1.31
11-2022.00,Sales Managers,Interest,1.B.1.d,Social,Occupational Interests,3.29
11-2022.00,Sales Managers,Interest,1.B.1.e,Enterprising,Occupational Interests,7
11-2022.00,Sales Managers,Interest,1.B.1.f,Conventional,Occupational Interests,5.58
11-2032.00,Public Relations Managers,Interest,1.B.1.a,Realistic,Occupational Interests,1
11-2032.00,Public Relations Managers,Interest,1.B.1.b,Investigative,Occupational Interests,2.35
11-2032.00,Public Relations Managers,Interest,1.B.1.c,Artistic,Occupational Interests,3.68
11-2032.00,Public Relations Managers,Interest,1.B.1.d,Social,Occupational Interests,4.14
11-2032.00,Public Relations Managers,Interest,1.B.1.e,Enterprising,Occupational Interests,7
11-2032.00,Public Relations Managers,Interest,1.B.1.f,Conventional,Occupational Interests,4.39
11-2033.00,Fundraising Managers,Interest,1.B.1.a,Realistic,Occupational Interests,1
11-2033.00,Fundraising Managers,Interest,1.B.1.b,Investigative,Occupational Interests,2.41
11-2033.00,Fundraising Managers,Interest,1.B.1.c,Artistic,Occupational Interests,2.67
11-2033.00,Fundraising Managers,Interest,1.B.1.d,Social,Occupational Interests,3.75
11-2033.00,Fundraising Managers,Interest,1.B.1.e,Enterprising,Occupational Interests,7
11-2033.00,Fundraising Managers,Interest,1.B.1.f,Conventional,Occupational Interests,4.72
11-3012.00,Administrative Services Managers,Interest,1.B.1.a,Realistic,Occupational Interests,1.59
11-3012.00,Administrative Services Managers,Interest,1.B.1.b,Investigative,Occupational Interests,2.03
11-3012.00,Administrative Services Managers,Interest,1.B.1.c,Artistic,Occupational Interests,1.01
11-3012.00,Administrative Services Managers,Interest,1.B.1.d,Social,Occupational Interests,3.71
11-3012.00,Administrative Services Managers,Interest,1.B.1.e,Enterprising,Occupational Interests,6.51
11-3012.00,Administrative Services Managers,Interest,1.B.1.f,Conventional,Occupational Interests,6.43
11-3013.00,Facilities Managers,Interest,1.B.1.a,Realistic,Occupational Interests,3.93
11-3013.00,Facilities Managers,Interest,1.B.1.b,Investigative,Occupational Interests,2.52
