O*NET-SOC Code,Title,Attribute Type,Element ID,Element Name,Scale Name,Data Value
11-1011.00,Chief Executives,Work Values,1.B.2.a,Achievement,Extent,6.33
11-1011.00,Chief Executives,Work Values,1.B.2.b,Working Conditions,Extent,6.33
11-1011.00,Chief Executives,Work Values,1.B.2.c,Recognition,Extent,7.0
11-1011.00,Chief Executives,Work Values,1.B.2.d,Relationships,Extent,5.0
11-1011.00,Chief Executives,Work Values,1.B.2.e,Support,Extent,5.33
11-1011.00,Chief Executives,Work Values,1.B.2.f,Independence,Extent,7.0
11-1011.00,Chief Executives,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,3.0
11-1011.00,Chief Executives,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,6.0
11-1011.00,Chief Executives,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,1.0
11-1011.03,Chief Sustainability Officers,Work Values,1.B.2.a,Achievement,Extent,6.67
11-1011.03,Chief Sustainability Officers,Work Values,1.B.2.b,Working Conditions,Extent,6.33
11-1011.03,Chief Sustainability Officers,Work Values,1.B.2.c,Recognition,Extent,6.0
11-1011.03,Chief Sustainability Officers,Work Values,1.B.2.d,Relationships,Extent,5.0
11-1011.03,Chief Sustainability Officers,Work Values,1.B.2.e,Support,Extent,3.33
11-1011.03,Chief Sustainability Officers,Work Values,1.B.2.f,Independence,Extent,6.67
11-1011.03,Chief Sustainability Officers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,1.0
11-1011.03,Chief Sustainability Officers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,6.0
11-1011.03,Chief Sustainability Officers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,2.0
11-1021.00,General and Operations Managers,Work Values,1.B.2.a,Achievement,Extent,5.33
11-1021.00,General and Operations Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.0
11-1021.00,General and Operations Managers,Work Values,1.B.2.c,Recognition,Extent,5.67
11-1021.00,General and Operations Managers,Work Values,1.B.2.d,Relationships,Extent,6.33
11-1021.00,General and Operations Managers,Work Values,1.B.2.e,Support,Extent,4.67
11-1021.00,General and Operations Managers,Work Values,1.B.2.f,Independence,Extent,6.0
11-1021.00,General and Operations Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,4.0
11-1021.00,General and Operations Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,6.0
11-1021.00,General and Operations Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,2.0
11-1031.00,Legislators,Work Values,1.B.2.a,Achievement,Extent,5.33
11-1031.00,Legislators,Work Values,1.B.2.b,Working Conditions,Extent,4.33
11-1031.00,Legislators,Work Values,1.B.2.c,Recognition,Extent,5.0
11-1031.00,Legislators,Work Values,1.B.2.d,Relationships,Extent,5.67
11-1031.00,Legislators,Work Values,1.B.2.e,Support,Extent,4.0
11-1031.00,Legislators,Work Values,1.B.2.f,Independence,Extent,5.0
11-1031.00,Legislators,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,4.0
11-1031.00,Legislators,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-1031.00,Legislators,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,3.0
11-2011.00,Advertising and Promotions Managers,Work Values,1.B.2.a,Achievement,Extent,5.33
11-2011.00,Advertising and Promotions Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.33
11-2011.00,Advertising and Promotions Managers,Work Values,1.B.2.c,Recognition,Extent,5.33
11-2011.00,Advertising and Promotions Managers,Work Values,1.B.2.d,Relationships,Extent,5.0
11-2011.00,Advertising and Promotions Managers,Work Values,1.B.2.e,Support,Extent,4.0
11-2011.00,Advertising and Promotions Managers,Work Values,1.B.2.f,Independence,Extent,5.33
11-2011.00,Advertising and Promotions Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,2.0
11-2011.00,Advertising and Promotions Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-2011.00,Advertising and Promotions Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,6.0
11-2021.00,Marketing Managers,Work Values,1.B.2.a,Achievement,Extent,6.0
11-2021.00,Marketing Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.17
11-2021.00,Marketing Managers,Work Values,1.B.2.c,Recognition,Extent,5.33
11-2021.00,Marketing Managers,Work Values,1.B.2.d,Relationships,Extent,5.67
11-2021.00,Marketing Managers,Work Values,1.B.2.e,Support,Extent,5.0
11-2021.00,Marketing Managers,Work Values,1.B.2.f,Independence,Extent,5.67
11-2021.00,Marketing Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,2.0
11-2021.00,Marketing Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-2021.00,Marketing Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,6.0
11-2022.00,Sales Managers,Work Values,1.B.2.a,Achievement,Extent,5.33
11-2022.00,Sales Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.5
11-2022.00,Sales Managers,Work Values,1.B.2.c,Recognition,Extent,4.67
11-2022.00,Sales Managers,Work Values,1.B.2.d,Relationships,Extent,4.0
11-2022.00,Sales Managers,Work Values,1.B.2.e,Support,Extent,5.33
11-2022.00,Sales Managers,Work Values,1.B.2.f,Independence,Extent,5.67
11-2022.00,Sales Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,6.0
11-2022.00,Sales Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,2.0
11-2022.00,Sales Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,1.0
11-3012.00,Administrative Services Managers,Work Values,1.B.2.a,Achievement,Extent,4.67
11-3012.00,Administrative Services Managers,Work Values,1.B.2.b,Working Conditions,Extent,4.67
11-3012.00,Administrative Services Managers,Work Values,1.B.2.c,Recognition,Extent,4.67
11-3012.00,Administrative Services Managers,Work Values,1.B.2.d,Relationships,Extent,6.33
11-3012.00,Administrative Services Managers,Work Values,1.B.2.e,Support,Extent,4.0
11-3012.00,Administrative Services Managers,Work Values,1.B.2.f,Independence,Extent,5.67
11-3012.00,Administrative Services Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,4.0
11-3012.00,Administrative Services Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,6.0
11-3012.00,Administrative Services Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,3.0
11-3021.00,Computer and Information Systems Managers,Work Values,1.B.2.a,Achievement,Extent,5.33
