O*NET-SOC Code,Title,Example
11-1011.00,Chief Executives,10-key calculators
11-1011.00,Chief Executives,Desktop computers
11-1011.00,Chief Executives,Laptop computers
11-1011.00,Chief Executives,Personal computers
11-1011.00,Chief Executives,Personal digital assistants PDA
11-1011.00,Chief Executives,Smartphones
11-1011.00,Chief Executives,Universal serial bus USB flash drives
11-1011.03,Chief Sustainability Officers,10-key calculators
11-1011.03,Chief Sustainability Officers,Computer data input scanners
11-1011.03,Chief Sustainability Officers,Desktop computers
11-1011.03,Chief Sustainability Officers,Handheld computers
11-1011.03,Chief Sustainability Officers,Laptop computers
11-1011.03,Chief Sustainability Officers,Multi-line telephone systems
11-1011.03,Chief Sustainability Officers,Personal computers
11-1011.03,Chief Sustainability Officers,Photocopying equipment
11-1011.03,Chief Sustainability Officers,Smartphones
11-1011.03,Chief Sustainability Officers,Video teleconferencing systems
11-1021.00,General and Operations Managers,10-key calculators
11-1021.00,General and Operations Managers,Cell phones
11-1021.00,General and Operations Managers,Computer scanners
11-1021.00,General and Operations Managers,Credit card processing machines
11-1021.00,General and Operations Managers,Desktop computers
11-1021.00,General and Operations Managers,Digital cameras
11-1021.00,General and Operations Managers,Handtrucks
11-1021.00,General and Operations Managers,Humidity test chambers
11-1021.00,General and Operations Managers,Laptop computers
11-1021.00,General and Operations Managers,Magnetic card readers
11-1021.00,General and Operations Managers,Personal computers
11-1021.00,General and Operations Managers,Personal digital assistants PDA
11-1021.00,General and Operations Managers,Photocopying equipment
11-1021.00,General and Operations Managers,Point of sale POS systems
11-1021.00,General and Operations Managers,Profilometers
11-1021.00,General and Operations Managers,Spectrometers
11-1021.00,General and Operations Managers,Surveillance cameras
11-1021.00,General and Operations Managers,Vacuum test chambers
11-1031.00,Legislators,Computer laser printers
11-1031.00,Legislators,Laptop computers
11-1031.00,Legislators,Tablet computers
11-1031.00,Legislators,Wireless desktop printers
11-2011.00,Advertising and Promotions Managers,Computer data input scanners
11-2011.00,Advertising and Promotions Managers,Desktop computers
11-2011.00,Advertising and Promotions Managers,Handheld computers
11-2011.00,Advertising and Promotions Managers,Laptop computers
11-2011.00,Advertising and Promotions Managers,Laser facsimile machines
11-2011.00,Advertising and Promotions Managers,Multi-line telephone systems
11-2011.00,Advertising and Promotions Managers,Notebook computers
11-2011.00,Advertising and Promotions Managers,Personal computers
11-2011.00,Advertising and Promotions Managers,Personal digital assistants PDA
11-2011.00,Advertising and Promotions Managers,Photocopying equipment
11-2011.00,Advertising and Promotions Managers,Scanners
11-2011.00,Advertising and Promotions Managers,Tablet computers
11-2021.00,Marketing Managers,Desktop computers
11-2021.00,Marketing Managers,Laser facsimile machines
11-2021.00,Marketing Managers,Notebook computers
11-2021.00,Marketing Managers,Personal computers
11-2021.00,Marketing Managers,Personal digital assistants PDA
11-2021.00,Marketing Managers,Photocopiers
11-2021.00,Marketing Managers,Scanners
11-2021.00,Marketing Managers,Tablet computers
11-2022.00,Sales Managers,Desktop computers
11-2022.00,Sales Managers,Notebook computers
11-2022.00,Sales Managers,Personal computers
11-2022.00,Sales Managers,Scanners
11-2022.00,Sales Managers,Tablet computers
11-2032.00,Public Relations Managers,Computer scanners
11-2032.00,Public Relations Managers,Desktop computers
11-2032.00,Public Relations Managers,Laptop computers
11-2032.00,Public Relations Managers,Multi-line telephone systems
